visit_id,event_time,user_id,page
V000078,2026-06-12T09:00:00,U0073,/post/data-engineering
V000236,2026-06-12T09:00:04,U0043,/about
V000268,2026-06-12T09:00:13,U0059,/home
V000232,2026-06-12T09:00:14,U0034,/post/idempotency
V000064,2026-06-12T09:00:16,U0019,/about
V000293,2026-06-12T09:01:11,U0038,/about
V000212,2026-06-12T09:01:15,U0094,/pricing
V000093,2026-06-12T09:01:50,U0098,/pricing
V000125,2026-06-12T09:01:52,U0020,/pricing
V000105,2026-06-12T09:01:54,U0102,/post/idempotency
V000135,2026-06-12T09:01:54,U0033,/post/data-engineering
V000242,2026-06-12T09:02:50,U0051,/home
V000262,2026-06-12T09:02:51,U0018,/post/s3-full-load
V000230,2026-06-12T09:03:05,U0059,/post/data-engineering
V000205,2026-06-12T09:03:26,U0024,/post/data-engineering
V000265,2026-06-12T09:03:27,U0081,/home
V000226,2026-06-12T09:03:46,U0011,/post/s3-full-load
V000194,2026-06-12T09:03:55,U0103,/post/s3-full-load
V000050,2026-06-12T09:04:01,U0028,/post/idempotency
V000022,2026-06-12T09:04:04,U0080,/post/data-engineering
V000285,2026-06-12T09:04:08,U0063,/post/idempotency
V000043,2026-06-12T09:04:26,U0008,/post/s3-full-load
V000199,2026-06-12T09:04:32,U0034,/home
V000075,2026-06-12T09:04:35,U0027,/about
V000007,2026-06-12T09:04:46,U0031,/home
V000224,2026-06-12T09:04:49,U0081,/post/s3-full-load
V000167,2026-06-12T09:04:57,U0086,/post/data-engineering
V000297,2026-06-12T09:05:05,U0075,/home
V000294,2026-06-12T09:05:13,U0105,/pricing
V000277,2026-06-12T09:05:14,U0062,/post/s3-full-load
V000053,2026-06-12T09:05:30,U0022,/about
V000198,2026-06-12T09:05:43,U0078,/post/data-engineering
V000237,2026-06-12T09:05:43,U0061,/post/idempotency
V000116,2026-06-12T09:05:47,U0107,/post/s3-full-load
V000087,2026-06-12T09:05:51,U0019,/home
V000292,2026-06-12T09:05:51,U0120,/about
V000006,2026-06-12T09:05:52,U0056,/about
V000197,2026-06-12T09:06:02,U0103,/post/idempotency
V000240,2026-06-12T09:06:12,U0034,/home
V000174,2026-06-12T09:06:25,U0051,/about
V000132,2026-06-12T09:07:00,U0068,/post/s3-full-load
V000073,2026-06-12T09:07:04,U0062,/post/s3-full-load
V000186,2026-06-12T09:07:09,U0011,/post/idempotency
V000215,2026-06-12T09:07:15,U0085,/post/s3-full-load
V000204,2026-06-12T09:07:28,U0021,/post/idempotency
V000185,2026-06-12T09:07:42,U0118,/post/data-engineering
V000016,2026-06-12T09:08:02,U0074,/post/idempotency
V000117,2026-06-12T09:08:11,U0117,/about
V000051,2026-06-12T09:08:49,U0095,/post/data-engineering
V000143,2026-06-12T09:08:55,U0069,/post/data-engineering
V000130,2026-06-12T09:08:56,U0003,/home
V000284,2026-06-12T09:09:06,U0002,/about
V000055,2026-06-12T09:09:20,U0105,/about
V000165,2026-06-12T09:09:21,U0054,/home
V000133,2026-06-12T09:09:30,U0056,/post/data-engineering
V000255,2026-06-12T09:09:30,U0117,/pricing
V000298,2026-06-12T09:09:40,U0096,/pricing
V000172,2026-06-12T09:09:45,U0033,/post/data-engineering
V000241,2026-06-12T09:09:49,U0052,/pricing
V000127,2026-06-12T09:09:58,U0079,/pricing
V000092,2026-06-12T09:10:00,U0089,/pricing
V000281,2026-06-12T09:10:03,U0043,/post/idempotency
V000082,2026-06-12T09:10:08,U0082,/post/idempotency
V000191,2026-06-12T09:10:11,U0069,/pricing
V000129,2026-06-12T09:10:38,U0071,/pricing
V000231,2026-06-12T09:10:45,U0035,/about
V000124,2026-06-12T09:10:50,U0022,/post/data-engineering
V000090,2026-06-12T09:11:01,U0067,/home
V000176,2026-06-12T09:11:01,U0091,/about
V000076,2026-06-12T09:11:04,U0015,/post/idempotency
V000175,2026-06-12T09:11:06,U0086,/post/data-engineering
V000147,2026-06-12T09:11:45,U0019,/about
V000060,2026-06-12T09:12:01,U0020,/post/data-engineering
V000018,2026-06-12T09:12:20,U0014,/pricing
V000063,2026-06-12T09:12:26,U0034,/post/idempotency
V000195,2026-06-12T09:12:30,U0055,/home
V000153,2026-06-12T09:13:03,U0036,/home
V000280,2026-06-12T09:13:32,U0010,/pricing
V000220,2026-06-12T09:13:33,U0107,/post/s3-full-load
V000159,2026-06-12T09:13:36,U0089,/post/idempotency
V000103,2026-06-12T09:13:38,U0067,/about
V000164,2026-06-12T09:13:49,U0108,/about
V000112,2026-06-12T09:13:57,U0062,/pricing
V000091,2026-06-12T09:14:00,U0068,/post/idempotency
V000081,2026-06-12T09:14:11,U0079,/about
V000296,2026-06-12T09:14:19,U0118,/post/data-engineering
V000219,2026-06-12T09:14:41,U0030,/post/idempotency
V000287,2026-06-12T09:14:51,U0087,/about
V000235,2026-06-12T09:14:52,U0046,/post/data-engineering
V000110,2026-06-12T09:15:03,U0014,/post/data-engineering
V000013,2026-06-12T09:15:05,U0006,/pricing
V000010,2026-06-12T09:15:14,U0081,/post/s3-full-load
V000261,2026-06-12T09:15:41,U0011,/home
V000059,2026-06-12T09:15:45,U0020,/home
V000275,2026-06-12T09:15:45,U0095,/post/s3-full-load
V000244,2026-06-12T09:15:53,U0011,/pricing
V000274,2026-06-12T09:16:01,U0094,/post/data-engineering
V000229,2026-06-12T09:16:32,U0089,/post/idempotency
V000234,2026-06-12T09:16:41,U0005,/post/idempotency
V000267,2026-06-12T09:16:41,U0063,/post/idempotency
V000162,2026-06-12T09:16:54,U0090,/pricing
V000239,2026-06-12T09:16:56,U0065,/home
V000211,2026-06-12T09:17:05,U0005,/home
V000225,2026-06-12T09:17:26,U0056,/post/data-engineering
V000138,2026-06-12T09:17:42,U0070,/about
V000163,2026-06-12T09:17:43,U0119,/pricing
V000299,2026-06-12T09:17:52,U0047,/post/data-engineering
V000089,2026-06-12T09:18:04,U0062,/post/s3-full-load
V000196,2026-06-12T09:18:21,U0003,/post/s3-full-load
V000188,2026-06-12T09:18:27,U0097,/post/data-engineering
V000187,2026-06-12T09:18:33,U0006,/post/data-engineering
V000250,2026-06-12T09:19:23,U0093,/pricing
V000046,2026-06-12T09:19:25,U0092,/about
V000289,2026-06-12T09:19:29,U0060,/about
V000278,2026-06-12T09:19:36,U0099,/home
V000208,2026-06-12T09:19:47,U0058,/pricing
V000288,2026-06-12T09:19:51,U0091,/pricing
V000136,2026-06-12T09:19:59,U0065,/post/data-engineering
V000184,2026-06-12T09:20:10,U0066,/home
V000094,2026-06-12T09:20:20,U0083,/home
V000243,2026-06-12T09:20:27,U0039,/post/s3-full-load
V000283,2026-06-12T09:20:46,U0080,/pricing
V000206,2026-06-12T09:21:17,U0081,/post/idempotency
V000179,2026-06-12T09:21:44,U0012,/post/s3-full-load
V000001,2026-06-12T09:22:06,U0020,/about
V000193,2026-06-12T09:22:19,U0012,/post/idempotency
V000233,2026-06-12T09:22:27,U0071,/post/idempotency
V000099,2026-06-12T09:22:30,U0082,/post/data-engineering
V000183,2026-06-12T09:22:37,U0067,/pricing
V000121,2026-06-12T09:22:41,U0012,/post/s3-full-load
V000038,2026-06-12T09:23:13,U0089,/post/idempotency
V000115,2026-06-12T09:23:29,U0103,/post/s3-full-load
V000210,2026-06-12T09:23:41,U0103,/home
V000083,2026-06-12T09:23:42,U0078,/post/idempotency
V000109,2026-06-12T09:23:51,U0047,/home
V000097,2026-06-12T09:24:16,U0099,/post/data-engineering
V000104,2026-06-12T09:24:16,U0094,/home
V000263,2026-06-12T09:24:37,U0014,/about
V000026,2026-06-12T09:24:41,U0039,/post/data-engineering
V000004,2026-06-12T09:24:57,U0075,/home
V000180,2026-06-12T09:24:58,U0003,/post/idempotency
V000020,2026-06-12T09:25:25,U0013,/pricing
V000248,2026-06-12T09:26:35,U0098,/post/idempotency
V000166,2026-06-12T09:26:47,U0057,/post/idempotency
V000122,2026-06-12T09:27:01,U0060,/about
V000052,2026-06-12T09:27:09,U0051,/about
V000072,2026-06-12T09:27:10,U0052,/about
V000074,2026-06-12T09:27:20,U0008,/post/data-engineering
V000054,2026-06-12T09:27:25,U0071,/post/idempotency
V000222,2026-06-12T09:27:37,U0045,/home
V000015,2026-06-12T09:28:36,U0019,/pricing
V000142,2026-06-12T09:28:42,U0106,/pricing
V000178,2026-06-12T09:28:45,U0026,/post/idempotency
V000024,2026-06-12T09:29:11,U0100,/post/idempotency
V000168,2026-06-12T09:29:14,U0010,/post/data-engineering
V000216,2026-06-12T09:29:30,U0085,/about
V000120,2026-06-12T09:29:37,U0102,/post/s3-full-load
V000145,2026-06-12T09:30:02,U0100,/post/data-engineering
V000157,2026-06-12T09:30:15,U0042,/pricing
V000108,2026-06-12T09:30:31,U0104,/post/s3-full-load
V000295,2026-06-12T09:30:40,U0035,/about
V000155,2026-06-12T09:30:52,U0072,/home
V000160,2026-06-12T09:30:52,U0066,/pricing
V000200,2026-06-12T09:30:58,U0002,/post/idempotency
V000276,2026-06-12T09:31:25,U0064,/about
V000048,2026-06-12T09:31:31,U0046,/post/data-engineering
V000126,2026-06-12T09:31:46,U0104,/post/s3-full-load
V000025,2026-06-12T09:31:47,U0075,/about
V000290,2026-06-12T09:31:50,U0099,/home
V000173,2026-06-12T09:31:55,U0029,/post/s3-full-load
V000111,2026-06-12T09:32:05,U0026,/post/idempotency
V000106,2026-06-12T09:32:14,U0034,/post/data-engineering
V000042,2026-06-12T09:32:21,U0090,/post/s3-full-load
V000084,2026-06-12T09:32:22,U0016,/home
V000128,2026-06-12T09:32:22,U0085,/post/idempotency
V000214,2026-06-12T09:32:24,U0032,/about
V000119,2026-06-12T09:32:38,U0114,/post/data-engineering
V000114,2026-06-12T09:32:43,U0117,/post/s3-full-load
V000086,2026-06-12T09:32:47,U0062,/post/idempotency
V000062,2026-06-12T09:33:06,U0107,/pricing
V000035,2026-06-12T09:33:22,U0054,/home
V000030,2026-06-12T09:33:47,U0113,/post/idempotency
V000023,2026-06-12T09:33:53,U0088,/pricing
V000238,2026-06-12T09:34:19,U0084,/post/data-engineering
V000158,2026-06-12T09:34:30,U0078,/pricing
V000218,2026-06-12T09:34:35,U0040,/post/s3-full-load
V000005,2026-06-12T09:34:38,U0028,/home
V000033,2026-06-12T09:34:56,U0054,/post/data-engineering
V000253,2026-06-12T09:35:01,U0081,/about
V000177,2026-06-12T09:35:11,U0052,/post/idempotency
V000096,2026-06-12T09:35:23,U0047,/post/data-engineering
V000144,2026-06-12T09:35:44,U0066,/home
V000271,2026-06-12T09:35:54,U0009,/post/s3-full-load
V000203,2026-06-12T09:35:58,U0091,/post/data-engineering
V000245,2026-06-12T09:36:07,U0110,/post/data-engineering
V000207,2026-06-12T09:36:15,U0098,/post/data-engineering
V000098,2026-06-12T09:36:21,U0070,/pricing
V000065,2026-06-12T09:36:29,U0048,/pricing
V000270,2026-06-12T09:36:32,U0012,/post/s3-full-load
V000079,2026-06-12T09:36:37,U0013,/post/idempotency
V000217,2026-06-12T09:37:16,U0107,/about
V000291,2026-06-12T09:37:29,U0026,/post/idempotency
V000008,2026-06-12T09:37:37,U0055,/home
V000213,2026-06-12T09:37:37,U0025,/pricing
V000201,2026-06-12T09:37:45,U0054,/post/idempotency
V000181,2026-06-12T09:37:49,U0059,/about
V000151,2026-06-12T09:37:55,U0062,/home
V000149,2026-06-12T09:37:59,U0008,/post/idempotency
V000017,2026-06-12T09:38:14,U0105,/post/s3-full-load
V000152,2026-06-12T09:38:14,U0008,/post/data-engineering
V000066,2026-06-12T09:38:39,U0041,/post/data-engineering
V000192,2026-06-12T09:38:57,U0064,/post/s3-full-load
V000019,2026-06-12T09:38:59,U0082,/post/data-engineering
V000037,2026-06-12T09:39:07,U0102,/post/idempotency
V000029,2026-06-12T09:39:12,U0039,/pricing
V000045,2026-06-12T09:39:27,U0088,/about
V000011,2026-06-12T09:39:47,U0008,/pricing
V000012,2026-06-12T09:39:58,U0051,/home
V000039,2026-06-12T09:40:34,U0064,/pricing
V000077,2026-06-12T09:41:00,U0007,/home
V000300,2026-06-12T09:41:11,U0105,/post/s3-full-load
V000146,2026-06-12T09:41:32,U0001,/post/data-engineering
V000032,2026-06-12T09:41:34,U0010,/home
V000113,2026-06-12T09:41:39,U0108,/home
V000049,2026-06-12T09:41:42,U0015,/about
V000100,2026-06-12T09:41:51,U0104,/post/data-engineering
V000080,2026-06-12T09:41:53,U0004,/home
V000279,2026-06-12T09:42:07,U0081,/post/s3-full-load
V000068,2026-06-12T09:42:09,U0084,/post/s3-full-load
V000148,2026-06-12T09:42:15,U0093,/home
V000202,2026-06-12T09:42:26,U0017,/home
V000266,2026-06-12T09:42:45,U0069,/post/s3-full-load
V000251,2026-06-12T09:43:54,U0019,/home
V000171,2026-06-12T09:43:55,U0085,/post/idempotency
V000002,2026-06-12T09:44:26,U0007,/home
V000282,2026-06-12T09:44:28,U0096,/post/s3-full-load
V000246,2026-06-12T09:44:53,U0115,/post/s3-full-load
V000061,2026-06-12T09:44:57,U0030,/home
V000141,2026-06-12T09:45:13,U0075,/pricing
V000036,2026-06-12T09:45:37,U0010,/pricing
V000047,2026-06-12T09:45:38,U0045,/home
V000169,2026-06-12T09:45:42,U0039,/home
V000228,2026-06-12T09:45:46,U0037,/pricing
V000286,2026-06-12T09:45:52,U0013,/post/s3-full-load
V000209,2026-06-12T09:45:53,U0023,/post/idempotency
V000150,2026-06-12T09:46:34,U0067,/pricing
V000058,2026-06-12T09:46:36,U0114,/about
V000260,2026-06-12T09:46:37,U0089,/post/s3-full-load
V000067,2026-06-12T09:47:08,U0110,/pricing
V000107,2026-06-12T09:47:16,U0078,/post/idempotency
V000095,2026-06-12T09:47:31,U0109,/post/idempotency
V000044,2026-06-12T09:47:53,U0040,/post/s3-full-load
V000182,2026-06-12T09:48:00,U0003,/about
V000057,2026-06-12T09:48:13,U0054,/post/idempotency
V000021,2026-06-12T09:48:36,U0009,/pricing
V000249,2026-06-12T09:49:11,U0064,/post/data-engineering
V000221,2026-06-12T09:49:45,U0082,/post/data-engineering
V000031,2026-06-12T09:49:47,U0058,/post/idempotency
V000254,2026-06-12T09:50:05,U0090,/pricing
V000272,2026-06-12T09:50:17,U0061,/post/idempotency
V000069,2026-06-12T09:50:30,U0007,/about
V000102,2026-06-12T09:50:30,U0103,/post/data-engineering
V000140,2026-06-12T09:50:30,U0046,/about
V000123,2026-06-12T09:50:44,U0011,/post/s3-full-load
V000269,2026-06-12T09:51:04,U0120,/pricing
V000088,2026-06-12T09:51:10,U0044,/post/s3-full-load
V000256,2026-06-12T09:51:23,U0065,/pricing
V000034,2026-06-12T09:51:41,U0044,/post/data-engineering
V000156,2026-06-12T09:51:52,U0115,/home
V000137,2026-06-12T09:52:08,U0076,/post/idempotency
V000154,2026-06-12T09:52:43,U0013,/pricing
V000170,2026-06-12T09:53:02,U0020,/post/s3-full-load
V000028,2026-06-12T09:53:14,U0032,/home
V000070,2026-06-12T09:53:14,U0112,/post/s3-full-load
V000118,2026-06-12T09:53:24,U0092,/post/data-engineering
V000247,2026-06-12T09:53:31,U0113,/pricing
V000027,2026-06-12T09:54:13,U0024,/post/s3-full-load
V000040,2026-06-12T09:54:24,U0059,/home
V000071,2026-06-12T09:54:28,U0072,/about
V000259,2026-06-12T09:54:28,U0115,/post/s3-full-load
V000131,2026-06-12T09:54:34,U0093,/post/s3-full-load
V000101,2026-06-12T09:55:01,U0031,/about
V000161,2026-06-12T09:55:06,U0062,/pricing
V000273,2026-06-12T09:55:14,U0010,/post/idempotency
V000190,2026-06-12T09:55:54,U0034,/about
V000189,2026-06-12T09:55:57,U0055,/post/s3-full-load
V000003,2026-06-12T09:56:03,U0069,/home
V000252,2026-06-12T09:56:18,U0107,/post/s3-full-load
V000134,2026-06-12T09:56:23,U0112,/post/data-engineering
V000258,2026-06-12T09:56:24,U0088,/pricing
V000009,2026-06-12T09:56:26,U0073,/home
V000139,2026-06-12T09:56:56,U0017,/home
V000257,2026-06-12T09:56:59,U0105,/home
V000264,2026-06-12T09:57:03,U0058,/pricing
V000223,2026-06-12T09:57:08,U0017,/home
V000041,2026-06-12T09:57:20,U0012,/post/idempotency
V000227,2026-06-12T09:57:25,U0049,/pricing
V000085,2026-06-12T09:57:57,U0063,/about
V000014,2026-06-12T09:58:36,U0018,/post/idempotency
V000056,2026-06-12T09:58:58,U0071,/post/idempotency
